This data set has two columns: Y is the number of insurance claims made,
X is the custom composite index.
The assumed model: Y follow a Poisson distribution with the mean which 
is a function of X.
"Y" "X"
2 1.34583831043957
4 1.87707484325483
3 1.47328951050845
3 1.89887326538709
4 1.43080712511922
1 2.52995341114527
2 2.66878013319905
2 1.31258718855269
3 1.43587187799351
2 2.04141293192661
2 2.38338311705135
1 1.55883949408897
5 1.22308951345843
1 1.58871339042633
5 1.64744565694905
5 2.54621484448472
4 1.39946850370952
2 2.30283726743994
5 2.68471192748161
3 1.69984676106818
2 1.58022070223034
6 1.78919994247437
2 1.50374779362034
2 1.4125747644923
4 1.62589176580356
3 1.64985860915447
5 3.41095019889212
3 2.11909068682854
2 1.64665089185896
5 3.17051416387376
1 2.4745354050802
3 1.45890582895647
1 2.09016560437688
1 2.39238512197023
0 0.913498130480435
3 1.58163034240876
2 1.64779492379869
1 1.28678082119906
3 1.70423792681778
5 2.16788415556078
1 1.63395185964706
2 1.95026145712965
5 1.64524030702518
1 2.16606604824792
6 2.44203316933782
5 2.08246496522658
0 1.49569512728047
0 1.61266906867008
4 1.81739562936568
5 1.56396809362021
1 1.6541313453306
2 1.39030016273806
8 1.746573794044
1 2.72692672273061
2 1.32218252173001
1 1.28530125989993
4 1.69425027620537
6 2.28888856663492
3 2.34627826407546
5 2.43549408159014
6 2.44544260405499
2 2.18822069217173
3 2.45365359395092
5 2.06075826378985
3 2.75637099687889
4 2.89498241077412
2 2.92015028816423
3 1.71752861859408
5 2.1065605993341
6 2.00322370211851
2 1.32149789956801
2 2.99923863402522
4 2.65261723008219
2 1.78374703972803
2 1.28919793505202
1 1.12080241033521
0 2.02694457769854
1 1.74209980994369
4 2.36379008542051
3 2.34012587691569
1 1.67799290915369
1 1.5045765971573
3 1.98340263891368
1 1.52244156272318
4 1.70040065844906
1 1.97741860017752
1 1.58236604816589
2 1.53633875580739
3 2.24962513725717
5 2.61749465898283
0 1.93235221927391
3 0.810383511640763
2 2.10379243728903
5 1.35140675030239
2 2.29193692382742
3 1.28583851112049
3 1.22680394397357
3 2.00492418152374
2 1.66922403209307
0 2.30506044958554
